ID,タスク名,フェーズ,業務区分,優先度,担当者,期限,ステータス,親タスク,依存タスク,完了条件,備考
D-001,Vercel本番プロジェクト作成 + payhome.jpカスタムドメイン設定,Phase0,開発,P0,エンジニア,2026-04-20,未着手,,,payhome.jpでHTTPS接続可能,
D-002,Supabase本番プロジェクト作成 + migrations 001-004適用,Phase0,開発,P0,エンジニア,2026-04-22,未着手,,D-001,4マイグレーション成功,
D-003,本番用14環境変数をVercelに設定,Phase0,開発,P0,エンジニア,2026-04-22,未着手,,"D-001,D-002",全14変数設定済み,1Passwordと照合
D-004,NEXTAUTH_SECRET本番用新規生成・設定,Phase0,開発,P0,エンジニア,2026-04-22,未着手,,D-003,dev/stgと異なる値,
D-005,GA4測定タグ埋込み + 3イベント計測確認,Phase0,開発,P0,エンジニア,2026-04-23,未着手,,D-001,signup/booking/diagnosis発火確認,
D-006,Cloudflare Turnstile有効化 (signup/contact/booking),Phase0,開発,P0,エンジニア,2026-04-24,未着手,,D-001,3フォームでbot判定動作,
D-007,Sentry本番プロジェクト接続,Phase0,開発,P0,エンジニア,2026-04-24,未着手,,D-001,Sentryでイベント受信確認,
D-008,本番DB seed: 工務店10社 + 見学会5件以上,Phase0,開発,P0,エンジニア,2026-04-25,未着手,,D-002,"builders 10行,events 5+行",
D-009,17公開ページ全て200確認,Phase0,開発,P0,エンジニア,2026-04-26,未着手,,D-008,全17パス200レスポンス,
D-010,40+非公開パス全て404確認,Phase0,開発,P0,エンジニア,2026-04-26,未着手,,D-009,全非公開パス404,
D-011,パスワードバリデーション確認 (min 8文字),Phase0,開発,P0,エンジニア,2026-04-26,完了,,,UI・API両方で8文字未満拒否,実装済み
D-012,OGP画像表示確認 (Twitter/LINE/Facebook),Phase0,開発,P0,エンジニア,2026-04-26,未着手,,D-009,3プラットフォームで画像表示,
D-013,robots.txt + sitemap.xml + middleware 3点一致確認,Phase0,開発,P0,エンジニア,2026-04-26,未着手,,D-010,3ファイル整合,
D-014,sitemap.xml Search Console登録,Phase0,開発,P0,PM,2026-04-28,未着手,,D-013,Search Consoleで送信完了,
D-015,フォーム送信確認 (無料相談/見学会予約/問い合わせ),Phase0,開発,P0,エンジニア,2026-04-26,未着手,,D-008,3フォーム→DB保存→メール受信,
D-016,AI診断10問→結果→会員登録フロー通し確認,Phase0,開発,P0,代表,2026-04-27,未着手,,D-008,全問回答→スコア→signup遷移,
D-017,クイズ10問→結果→CTA確認,Phase0,開発,P0,PM,2026-04-27,未着手,,D-009,全問→レベル判定→CTA表示,
D-018,会員登録→/welcome遷移→2CTA表示確認,Phase0,開発,P0,PM,2026-04-27,未着手,,D-009,/welcome遷移+CTA表示,
D-019,見学会予約→thanks→会員登録CTA確認,Phase0,開発,P0,PM,2026-04-27,未着手,,D-015,thanksページ+CTA正常,
D-020,スマホ表示確認 (iPhone Safari + Android Chrome),Phase0,開発,P0,PM,2026-04-28,未着手,,D-009,主要5画面レイアウト崩れなし,
D-021,TOP旧文言完全除去確認,Phase0,開発,P0,PM,2026-04-27,完了,,,NG文言0件,実施済み
D-022,匿名IDマージ動作確認,Phase0,開発,P0,エンジニア,2026-04-27,未着手,,D-009,favorites/chat/events統合,
D-023,AIチャット応答検証 (5パターン),Phase0,開発,P0,代表,2026-04-28,未着手,,D-008,"system prompt反映,NG文言なし",
D-024,見学会予約メール通知テスト,Phase0,開発,P0,営業,2026-04-28,未着手,,D-015,予約→メール→営業受信,
D-025,管理画面5画面動作確認,Phase0,開発,P0,PM,2026-04-28,未着手,,D-008,5画面CRUD正常,
D-026,本番デプロイリハーサル,Phase0,開発,P0,エンジニア,2026-04-29,未着手,,D-009,deploy+rollback 30秒以内,
D-027,代表による本番ビジュアル最終確認,Phase0,開発,P0,代表,2026-04-29,未着手,,D-026,全17ページ目視OK,
PM-001,UAT受入テスト実施 (10ケース),Phase0,PM進行管理,P0,PM,2026-04-30,未着手,,D-009,全10ケースPASS,
PM-002,Go/No-Go判定会議,Phase0,PM進行管理,P0,PM,2026-04-30,未着手,,PM-001,全4名GO判定,
PM-003,リリース当日マニュアル最終確認,Phase0,PM進行管理,P0,PM,2026-04-30,未着手,,,4名全員が手順把握,
PM-004,障害エスカレーションフロー確認,Phase0,PM進行管理,P0,PM,2026-04-30,未着手,,,P0-P3対応者確認済み,
PM-005,緊急連絡先リスト共有,Phase0,PM進行管理,P0,PM,2026-04-29,未着手,,,Slackに投稿,
S-001,工務店10社への料金合意取得,Phase0,営業,P0,営業,2026-04-25,未着手,,,全10社書面同意,
S-002,工務店10社の掲載データ検証,Phase0,営業,P0,営業,2026-04-25,未着手,,S-001,各社スクショ確認OK,
S-003,営業FAQ配布・読み合わせ,Phase0,営業,P0,営業,2026-04-25,未着手,,,主要10項目即答可能,
S-004,成果報酬3%説明シート配布,Phase0,営業,P1,営業,2026-04-28,未着手,,,10社に配布済み,
S-005,ローンチ前事前メール送信,Phase0,営業,P0,営業,2026-04-29,未着手,,S-001,10社メール到達確認,
S-006,現行方針1枚まとめ配布,Phase0,営業,P0,営業,2026-04-25,未着手,,,営業全員が方針説明可能,
L-001,業務委託契約書の弁護士送付,Phase0,契約法務,P0,代表,2026-04-20,未着手,,,弁護士にメール送信完了,
L-002,成果報酬3%契約別紙の弁護士レビュー,Phase0,契約法務,P0,代表,2026-04-20,未着手,,L-001,レビュー完了連絡,
L-003,弁護士フィードバック反映 + 最終版確定,Phase0,契約法務,P0,代表,2026-04-28,未着手,,L-002,契約書最終PDF保存,
L-004,利用規約・プライバシーポリシー確認,Phase0,契約法務,P0,PM,2026-04-28,未着手,,,"/terms,/privacy最新",
L-005,クッキーポリシー設置確認,Phase0,契約法務,P1,PM,2026-04-28,未着手,,,バナー表示動作確認,
MK-001,プレスリリース文面確定,Phase0,マーケティング,P1,代表,2026-04-28,未着手,,,CEO承認済み文面,
MK-002,YouTube告知動画完了,Phase0,マーケティング,P1,代表,2026-04-29,未着手,,,動画アップ(5/1公開予約),
MK-003,SNS投稿文面3PF準備,Phase0,マーケティング,P1,代表,2026-04-29,未着手,,,Threads/X/Instagram下書き,
MK-004,LINE公式通知文面準備,Phase0,マーケティング,P1,代表,2026-04-29,未着手,,,配信予約設定完了,
F-001,請求書テンプレート(freee)準備,Phase0,請求成果報酬,P0,経理,2026-04-28,未着手,,,freeeにテンプレ保存,
F-002,初月請求フロー確認,Phase0,請求成果報酬,P0,PM,2026-04-28,未着手,,F-001,フロー図をPM・経理合意,
R-001,5:00 Slack集合,リリース当日,リリース運用,P0,全員,2026-05-01,未着手,,,4名オンライン確認,
R-002,5:30 マージ+デプロイ,リリース当日,リリース運用,P0,エンジニア,2026-05-01,未着手,,R-001,ビルド成功,
R-003,5:45 本番URL手動確認,リリース当日,リリース運用,P0,PM,2026-05-01,未着手,,R-002,5画面正常表示,
R-004,5:55 非公開パス404チェック,リリース当日,リリース運用,P0,エンジニア,2026-05-01,未着手,,R-002,5パス全て404,
R-005,6:00 リリース完了宣言,リリース当日,リリース運用,P0,代表,2026-05-01,未着手,,"R-003,R-004",Slackに投稿,
R-006,6:30 工務店10社通知メール,リリース当日,リリース運用,P0,営業,2026-05-01,未着手,,R-005,10社メール到達,
R-007,9:00 プレス+YouTube+SNS公開,リリース当日,リリース運用,P0,代表,2026-05-01,未着手,,R-005,3チャネル公開,
R-008,9:15 LINE通知配信,リリース当日,リリース運用,P1,代表,2026-05-01,未着手,,R-007,配信完了,
R-009,10:00-22:00 リアルタイム監視,リリース当日,リリース運用,P0,エンジニア,2026-05-01,未着手,,R-005,P0障害なし,
R-010,22:00 Day1振り返り,リリース当日,リリース運用,P0,PM,2026-05-01,未着手,,R-009,振り返りメモ記録,
PL-001,日次: Sentryエラー確認,リリース後1W,リリース運用,P1,エンジニア,2026-05-07,未着手,,,未対応エラー0件,毎朝9:00
PL-002,日次: 5xxエラー率確認,リリース後1W,リリース運用,P1,エンジニア,2026-05-07,未着手,,,5xx<1%,
PL-003,日次: リード/予約件数確認,リリース後1W,運営CS,P1,PM,2026-05-07,未着手,,,日次集計記録,
PL-004,工務店10社フィードバック収集,リリース後1W,工務店対応,P1,営業,2026-05-07,未着手,,,全10社返答取得,
PL-005,KPI初期確認,リリース後1W,PM進行管理,P1,PM,2026-05-07,未着手,,,GA4/Vercelデータ集計,
PL-006,会員登録率確認,リリース後1W,PM進行管理,P1,PM,2026-05-07,未着手,,,数値記録(目標UU1.5%),
PL-007,CTA効果確認,リリース後1W,マーケティング,P1,PM,2026-05-07,未着手,,,TOP5 CTAクリック率算出,
PL-008,クイズ利用率確認,リリース後1W,PM進行管理,P1,PM,2026-05-07,未着手,,,GA4から集計,
PL-009,問い合わせ対応フロー初回確認,リリース後1W,運営CS,P1,営業,2026-05-07,未着手,,,24h SLA遵守,
PL-010,SEOインデックス確認,リリース後1W,SEOコンテンツ,P1,PM,2026-05-07,未着手,,,Search Console確認,
PL-011,週次KPIレビュー初回,リリース後2W,PM進行管理,P1,PM,2026-05-12,未着手,,,議事録・アクション記録,
PL-012,YouTube導線効果確認,リリース後2W,マーケティング,P1,代表,2026-05-14,未着手,,,導線別CVR算出,
PL-013,不具合・改善要望リスト整理,リリース後2W,開発,P1,PM,2026-05-14,未着手,,,優先順位付きリスト作成,
PL-014,工務店初回月次レポート送付,リリース後2W,工務店対応,P1,PM,2026-05-14,未着手,,,10社分レポート送付,
PL-015,GA4カスタムディメンション追加,リリース後2W,開発,P1,エンジニア,2026-05-14,未着手,,,4ディメンション計測開始,
PL-016,月次KPIレポート作成,リリース後1M,PM進行管理,P1,PM,2026-05-31,未着手,,,実績vs目標差分分析,
PL-017,月次請求処理,リリース後1M,請求成果報酬,P1,経理,2026-06-03,未着手,,,freee請求書発行,
PL-018,初月P&L更新,リリース後1M,経営確認,P1,代表,2026-06-05,未着手,,,売上/コスト/利益記録,
PL-019,Phase1→2移行判定,リリース後1M,経営確認,P2,代表,2026-06-30,未着手,,,予約10件/月×2ヶ月判定,
PL-020,OpenAI APIコスト確認,リリース後1M,開発,P2,エンジニア,2026-05-31,未着手,,,Usage $100/月以下,
OP-001,日次: Sentryエラー確認,Phase1定常,開発,P2,エンジニア,定常,未着手,,,未対応エラー0件,毎朝9:00
OP-002,日次: リード/予約件数集計,Phase1定常,運営CS,P2,PM,定常,未着手,,,管理表に記録,
OP-003,日次: 問い合わせ24h SLA確認,Phase1定常,運営CS,P2,営業,定常,未着手,,,SLA違反0件,
OP-004,週次: KPIレビュー会議,Phase1定常,PM進行管理,P2,PM,定常,未着手,,,議事録作成,毎週月曜10:00
OP-005,週次: YouTube動画公開,Phase1定常,マーケティング,P2,代表,定常,未着手,,,公開+SNS告知,毎週水曜
OP-006,週次: 工務店10社レポート,Phase1定常,工務店対応,P2,営業,定常,未着手,,,10社分送信,毎週金曜
OP-007,月次: レポート生成,Phase1定常,PM進行管理,P2,PM,定常,未着手,,,PF+工務店別レポート,
OP-008,月次: 請求書作成,Phase1定常,請求成果報酬,P2,経理,定常,未着手,,,翌月3営業日以内,
OP-009,月次: P&L更新,Phase1定常,経営確認,P2,代表,定常,未着手,,,売上/コスト記録,
OP-010,月次: 代表×工務店レビュー,Phase1定常,工務店対応,P2,代表,定常,未着手,,,全10社月1面談,
P2-001,middleware.tsリネーム検討,Phase2準備,開発,P3,エンジニア,2026-06-15,未着手,,,リネーム判断・実施,
P2-002,記事CMS検証,Phase2準備,開発,P3,エンジニア,2026-06-20,未着手,,,CMS入稿→表示動作確認,
P2-003,撮影プラン営業資料作成,Phase2準備,営業,P3,営業,2026-06-15,未着手,,,料金表+サンプル動画付き,
P2-004,lead_source追跡設計,Phase2準備,開発,P3,エンジニア,2026-06-25,未着手,,,設計ドキュメント作成,
P2-005,Phase2移行判定,Phase2準備,経営確認,P3,代表,2026-07-01,未着手,,,判定記録,
P2-006,"非公開パス復活: /news,/articles",Phase2準備,開発,P3,エンジニア,2026-07-01,未着手,,"P2-002,P2-005",middleware+nav+robots+sitemap同期,
P2-007,Header/Footerナビ更新,Phase2準備,開発,P3,エンジニア,2026-07-01,未着手,,P2-006,ナビ項目追加・表示確認,
P2-008,全10社に契約別紙送付,Phase2準備,契約法務,P3,営業,2026-08-01,未着手,,L-003,10社全社別紙署名回収,Phase3開始1ヶ月前
